DATE,GASREGA
1992-01-01,1.087
1993-01-01,1.067
1994-01-01,1.075
1995-01-01,1.111
1996-01-01,1.199
1997-01-01,1.199
1998-01-01,1.030
1999-01-01,1.136
2000-01-01,1.484
2001-01-01,1.420
2002-01-01,1.345
2003-01-01,1.561
2004-01-01,1.852
2005-01-01,2.270
2006-01-01,2.572
2007-01-01,2.796
2008-01-01,3.246
2009-01-01,2.353
2010-01-01,2.782
2011-01-01,3.521
2012-01-01,3.618
2013-01-01,3.505
2014-01-01,3.358
2015-01-01,2.429
2016-01-01,2.143
2017-01-01,2.415
2018-01-01,2.719
2019-01-01,2.604
2020-01-01,2.168
2021-01-01,3.008
2022-01-01,3.951
2023-01-01,3.519
